,Rank_avg,Review,Year,Genre,Publisher,Game Title,NA_avg,EU_avg,JP_avg,Other_avg,Global_avg
187,188,84.48,2006,Sports,Electronic Arts,Madden NFL 07,3.63,0.24,0.01,0.61,4.49
188,189,75.63,2002,Action,Activision,Spider-Man: The Movie,2.71,1.51,0.03,0.23,4.48
189,190,93.69,2005,Action,Sony Computer Entertainment,God of War,2.71,1.29,0.02,0.43,4.45
190,191,78.0,2012,Misc,Nintendo,Nintendo Land,1.73,0.75,0.38,0.23500000000000001,3.085
191,192,70.0,2010,Misc,Ubisoft,Michael Jackson: The Experience,2.605,1.31,0.01,0.405,4.33
192,193,84.0,2001,Sports,Activision,Tony Hawk's Pro Skater 3,2.66,1.29,0.01,0.46,4.41
193,194,86.31,2006,Sports,Konami Digital Entertainment,Winning Eleven: Pro Evolution Soccer 2007,0.1,2.39,1.05,0.86,4.39
194,195,94.0,2006,Role-Playing,Take-Two Interactive,The Elder Scrolls IV: Oblivion,2.6550000000000002,1.005,0.13,0.385,4.17
195,196,79.0,1987,Adventure,Nintendo,Zelda II: The Adventure of Link,2.19,0.5,1.61,0.08,4.38
196,197,89.0,2005,Racing,Electronic Arts,Need for Speed: Most Wanted,2.03,1.79,0.08,0.47,4.37
197,198,86.0,2006,Shooter,Sony Computer Entertainment,Resistance: Fall of Man,1.665,1.7,0.14,0.735,4.24
198,199,87.0,1991,Platform,Sega,Sonic the Hedgehog,3.03,0.91,0.26,0.13,4.34
199,200,93.0,2005,Role-Playing,Square Enix,Kingdom Hearts II,2.2,0.5799999999999998,1.25,0.17,4.2
200,201,88.5,2008,Role-Playing,Microsoft Game Studios,Fable II,2.4749999999999996,1.2149999999999999,0.11,0.405,4.21
201,202,96.09,2009,Action,Eidos Interactive,Batman: Arkham Asylum,2.09,1.25,0.060000000000000005,0.575,3.98
202,203,80.05,2011,Action,Ubisoft,Assassin's Creed: Revelations,1.3399999999999999,1.905,0.085,0.71,4.035
203,204,72.08,2001,Misc,Namco Bandai Games,Namco Museum,3.0,1.11,0.05,0.07,4.24
